Original Question,Rephrased Question,Answer A,Answer B,Answer C,Correct Choice
One purpose for schematic diagrams is to show the,One purpose for schematic diagrams is to show the,functional location of components within a system.,physical location of components within a system.,size and shape of components within a system.,A
"When reading a blueprint, a dimension is given as 4.387 inches +.005 -.002. Which statement is true?","When reading a blueprint, a dimension is given as 4.387 inches +.005 -.002. Which statement is true?",The maximum acceptable size is 4.390 inches.,The minimum acceptable size is 4.385 inches.,The minimum acceptable size is 4.382 inches.,B
What is the allowable manufacturing tolerance for a bushing where the outside dimensions shown on the blueprint are: 1.0625 + .0025 -.0003?,What is the allowable manufacturing tolerance for a bushing where the outside dimensions shown on the blueprint are: 1.0625 + .0025 -.0003?,.0028.,1.0650.,1.0647.,A
A hydraulic system schematic drawing typically indicates the,A hydraulic system schematic drawing typically indicates the,specific location of the individual components within the aircraft.,direction of fluid flow through the system.,"amount of pressure in the pressure and return lines, and in system components.",B
(Refer to Figure 37.) The vertical distance between the top of the plate and the bottom of the lowest 15/64-inch hole is,(Refer to Figure 37.) The vertical distance between the top of the plate and the bottom of the lowest 15/64-inch hole is,2.250.,2.242.,2.367.,C
"(1) A measurement should not be scaled from an aircraft print because the paper shrinks or stretches when the print is made.|(2) When a detail drawing is made, it is carefully and accurately drawn to scale, and is dimensioned.|Regarding the above statements,","(1) A measurement should not be scaled from an aircraft print because the paper shrinks or stretches when the print is made.|(2) When a detail drawing is made, it is carefully and accurately drawn to scale, and is dimensioned.|Regarding the above statements,",only 2 is true.,both 1 and 2 are true.,neither 1 nor 2 is true.,B
The drawings often used in illustrated parts manuals are,The drawings often used in illustrated parts manuals are,exploded-view drawings.,block drawings.,detail drawings.,A
A drawing in which the subassemblies or parts are shown as brought together on the aircraft is called,A drawing in which the subassemblies or parts are shown as brought together on the aircraft is called,an assembly drawing.,a detail drawing.,an installation drawing.,C
What type of diagram shows the wire size required for a particular installation?,What type of diagram shows the wire size required for a particular installation?,A block diagram.,A schematic diagram.,A wiring diagram.,C
In what type of electrical diagram are images of components used instead of conventional electrical symbols?,In what type of electrical diagram are images of components used instead of conventional electrical symbols?,A pictorial diagram.,A schematic diagram.,A block diagram.,A
Schematic diagrams are best suited for which of the following?,Schematic diagrams are best suited for which of the following?,Showing the visual details of individual components in a system.,Showing the overall location and appearance of components in a system.,Troubleshooting system malfunctions.,C
"In the reading of aircraft blueprints, the term 'tolerance,' used in association with aircraft parts or components,","In the reading of aircraft blueprints, the term 'tolerance,' used in association with aircraft parts or components,",is the tightest permissible fit for proper construction and operation of mating parts.,is the difference between extreme permissible dimensions that a part may have and still be acceptable.,represents the limit of galvanic compatibility between different adjoining material types in aircraft parts.,B
"(Refer to Figure 38.) An aircraft reciprocating engine has a 1,830 cubic-inch displacement and develops 1,250 brake-horsepower at 2,500 RPM. What is the brake mean effective pressure?","(Refer to Figure 38.) An aircraft reciprocating engine has a 1,830 cubic-inch displacement and develops 1,250 brake-horsepower at 2,500 RPM. What is the brake mean effective pressure?",217,205,225,A
"(Refer to Figure 38.) An aircraft reciprocating engine has a 2,800 cubic-inch displacement, develops 2,000 brake-horsepower, and indicates 270 brake mean effective pressure. What is the engine speed (RPM)?","(Refer to Figure 38.) An aircraft reciprocating engine has a 2,800 cubic-inch displacement, develops 2,000 brake-horsepower, and indicates 270 brake mean effective pressure. What is the engine speed (RPM)?","2,200.","2,100.","2,300.",B
"(Refer to Figure 38.) An aircraft reciprocating engine has a 2,800 cubic-inch displacement and develops 2,000 brake-horsepower at 2,200 RPM. What is the brake mean effective pressure?","(Refer to Figure 38.) An aircraft reciprocating engine has a 2,800 cubic-inch displacement and develops 2,000 brake-horsepower at 2,200 RPM. What is the brake mean effective pressure?",257.5.,242.5.,275.0.,A
"(Refer to Figure 39.) Determine the cable size of a 40-foot length of single cable in free air, with a continuous rating, running from a bus to the equipment in a 28-volt system with a 15-ampere load and a 1-volt drop.","(Refer to Figure 39.) Determine the cable size of a 40-foot length of single cable in free air, with a continuous rating, running from a bus to the equipment in a 28-volt system with a 15-ampere load and a 1-volt drop.",No. 10.,No. 11.,No. 18.,A
(Refer to Figure 39.) Determine the maximum length of a No. 16 cable to be installed from a bus to the equipment in a 28-volt system with a 25-ampere intermittent load and a 1-volt drop.,(Refer to Figure 39.) Determine the maximum length of a No. 16 cable to be installed from a bus to the equipment in a 28-volt system with a 25-ampere intermittent load and a 1-volt drop.,8 feet.,10 feet.,12 feet.,A
(Refer to Figure 39.) Determine the minimum wire size of a single cable in a bundle carrying a continuous current of 20 amperes 10 feet from the bus to the equipment in a 28-volt system with an allowable 1-volt drop.,(Refer to Figure 39.) Determine the minimum wire size of a single cable in a bundle carrying a continuous current of 20 amperes 10 feet from the bus to the equipment in a 28-volt system with an allowable 1-volt drop.,No. 12.,No. 14.,No. 16.,A
(Refer to Figure 39.) Determine the maximum length of a No. 12 single cable that can be used between a 28-volt bus and a component utilizing 20 amperes continuous load in free air with a maximum acceptable 1-volt drop.,(Refer to Figure 39.) Determine the maximum length of a No. 12 single cable that can be used between a 28-volt bus and a component utilizing 20 amperes continuous load in free air with a maximum acceptable 1-volt drop.,22.5 feet.,26.5 feet.,12.5 feet.,B
(Refer to Figure 40.) Determine the proper tension for a 1/8-inch cable (7 x 19) if the temperature is 80__degrees__F.,(Refer to Figure 40.) Determine the proper tension for a 1/8-inch cable (7 x 19) if the temperature is 80__degrees__F.,70 pounds.,75 pounds.,80 pounds.,A
(Refer to Figure 40.) Determine the proper tension for a 3/16-inch cable (7 x 19 extra flex) if the temperature is 87__degrees__F.,(Refer to Figure 40.) Determine the proper tension for a 3/16-inch cable (7 x 19 extra flex) if the temperature is 87__degrees__F.,135 pounds.,125 pounds.,140 pounds.,B
"(Refer to Figure 41.) Determine how much fuel would be required for a 30-minute reserve operating at 2,300 RPM.","(Refer to Figure 41.) Determine how much fuel would be required for a 30-minute reserve operating at 2,300 RPM.",25.3 pounds.,35.5 pounds.,49.8 pounds.,A
"(Refer to Figure 41.) Determine the fuel consumption with the engine operating at cruise, 2,350 RPM.","(Refer to Figure 41.) Determine the fuel consumption with the engine operating at cruise, 2,350 RPM.",49.2 pounds per hour.,51.2 pounds per hour.,55.3 pounds per hour.,C
"When computing weight and balance, an airplane is considered to be in balance when","When computing weight and balance, an airplane is considered to be in balance when",the average moment arm of the loaded airplane falls within its CG range.,all moment arms of the plane fall within CG range.,the movement of the passengers will not cause the moment arms to fall outside the CG range.,A
What tasks are completed prior to weighing an aircraft to determine its empty weight?,What tasks are completed prior to weighing an aircraft to determine its empty weight?,Remove all items except those on the aircraft equipment list; drain fuel and hydraulic fluid.,"Remove all items on the aircraft equipment list; drain fuel, compute oil and hydraulic fluid weight.",Remove all items except those on the aircraft equipment list; drain fuel and fill hydraulic reservoir.,C
The useful load of an aircraft consists of the,The useful load of an aircraft consists of the,"crew, usable fuel, passengers, and cargo.","crew, usable fuel, oil, and fixed equipment.","crew, passengers, usable fuel, oil, cargo, and fixed equipment.",A
"Which of the following can provide the empty weight of an aircraft if the aircraft's weight and balance records become lost, destroyed, or otherwise inaccurate?","Which of the following can provide the empty weight of an aircraft if the aircraft's weight and balance records become lost, destroyed, or otherwise inaccurate?",Reweighing the aircraft.,The applicable Aircraft Specification or Type Certificate Data Sheet.,The applicable flight manual or pilot's operating handbook.,A
"In the theory of weight and balance, what is the name of the distance from the fulcrum to an object?","In the theory of weight and balance, what is the name of the distance from the fulcrum to an object?",Lever arm.,Balance arm.,Fulcrum arm.,A
"In the process of weighing an airplane toward obtaining the CG, the arms from the weighing points always extend","In the process of weighing an airplane toward obtaining the CG, the arms from the weighing points always extend",parallel to the centerline of the airplane.,straight forward from each of the landing gear.,directly from each weighing point to the others.,A
Which of the following have an effect on aircraft CG results when conducting a weight and balance check?,Which of the following have an effect on aircraft CG results when conducting a weight and balance check?,Leaving the parking brake on.,Leaving the parking brake off.,Leaving the downlocks installed.,C
Which of the following may cause erroneous scale readings?,Which of the following may cause erroneous scale readings?,Wheel chocks in place.,Parking brakes set.,Parking brakes not set.,B
"(1) Private aircraft are required by regulations to be weighed periodically.|(2) Private aircraft are required to be weighed after making any alteration.|Regarding the above statements,","(1) Private aircraft are required by regulations to be weighed periodically.|(2) Private aircraft are required to be weighed after making any alteration.|Regarding the above statements,",neither 1 nor 2 is true.,only 1 is true.,only 2 is true.,A
What FAA-approved document gives the leveling means to be used when weighing an aircraft?,What FAA-approved document gives the leveling means to be used when weighing an aircraft?,Type Certificate Data Sheet.,AC 43.13-1B.,Manufacturer's maintenance manual.,A
Which device(s) is/are used to obtain the greatest accuracy of aircraft leveling?,Which device(s) is/are used to obtain the greatest accuracy of aircraft leveling?,Plumb bob and chalk line.,Spirit level.,Electronic load cells.,B
"To obtain useful weight data for purposes of determining the CG, it is necessary that an aircraft be weighed","To obtain useful weight data for purposes of determining the CG, it is necessary that an aircraft be weighed",in a level flight attitude.,with all items of useful load installed.,with no more than minimum fuel (1/12-gallon per METO horsepower) in all fuel tanks.,A
What type of measurement is used to designate the arm in weight and balance computation?,What type of measurement is used to designate the arm in weight and balance computation?,Distance.,Weight.,Weight x distance.,A
What determines whether the value of a moment is preceded by a plus (+) or a minus (-) sign in aircraft weight and balance?,What determines whether the value of a moment is preceded by a plus (+) or a minus (-) sign in aircraft weight and balance?,The location of the weight in reference to the datum.,The location of the weight relative to the datum and if it is being removed or added.,The location of the datum in reference to the aircraft CG.,B
The maximum weight of an aircraft is the,The maximum weight of an aircraft is the,"empty weight plus crew, maximum fuel, cargo, and baggage.","empty weight plus crew, passengers, and fixed equipment.",empty weight plus useful load.,C
Which statement is true regarding helicopter weight and balance?,Which statement is true regarding helicopter weight and balance?,Lateral axis CG control is not a factor in maintaining helicopter weight and balance.,The moment of tail-mounted components is subject to constant change.,Weight and balance procedures for airplanes also apply to helicopters.,C
What should be clearly indicated on the aircraft weighing form?,What should be clearly indicated on the aircraft weighing form?,Minimum allowable gross weight.,Weight of unusable fuel.,Weighing points.,C
"If the reference datum line is placed at the nose of an airplane rather than at the firewall or some other location aft of the nose,","When the reference datum line is placed at the nose of an airplane rather than at the firewall or some other location aft of the nose,",all measurement arms will be in negative numbers.,all measurement arms will be in positive numbers.,measurement arms can be either positive or negative numbers depending on the manufacturer's preference.,B
Maximum zero fuel weight is the,Maximum zero fuel weight is the,"dry weight plus the weight of full crew, passengers, and cargo.","basic operating weight without crew, fuel, and cargo.","maximum permissible weight of a loaded aircraft (passengers, crew, and cargo) without fuel.",C
"If it is necessary to weigh an aircraft with full fuel tanks, all fuel weight must be subtracted from the scale reading(s)","When it is necessary to weigh an aircraft with full fuel tanks, all fuel weight must be subtracted from the scale reading(s)",except minimum fuel.,including unusable fuel.,except unusable fuel.,C
The empty weight of an airplane is determined by,The empty weight of an airplane is determined by,adding the net weight of each weighing point and multiplying the measured distance to the datum.,subtracting the tare weight from the scale reading and adding the weight of each weighing point.,multiplying the measured distance from each weighing point to the datum times the sum of scale reading less the tare weight.,B
"When dealing with weight and balance of an aircraft, the maximum weight is interpreted to mean the maximum","When dealing with weight and balance of an aircraft, the maximum weight is interpreted to mean the maximum",weight of the empty aircraft.,weight of the useful load.,authorized weight of the aircraft and its contents.,C
"Most modern aircraft are designed so that if all seats are occupied, full baggage weight is carried, and all fuel tanks are full, what will be the weight condition of the aircraft?","Most modern aircraft are designed so that if all seats are occupied, full baggage weight is carried, and all fuel tanks are full, what will be the weight condition of the aircraft?",It will be in excess of maximum takeoff weight.,It will be at maximum basic operating weight.,It will be at maximum taxi or ramp weight.,A
The major source of weight change for most aircraft as they age is caused by,The major source of weight change for most aircraft as they age is caused by,"accumulation of grime and debris in hard-to-reach areas of the structure, and moisture absorption in cabin insulation.",repairs and alterations.,"installation of hardware and safety wire, and added layers of primer and paint on the structure.",B
The useful load of an aircraft is the difference between,The useful load of an aircraft is the difference between,the maximum takeoff weight and basic empty weight.,"maximum ramp or takeoff weight as applicable, and zero fuel weight.","(1) the weight of an aircraft with all seats filled, full baggage/cargo, and full fuel, and (2) aircraft weight with all seats empty, no baggage/cargo, and minimum operating fuel.",A
"When determining the empty weight of an aircraft, certificated under current airworthiness standards (14 CFR Part 23), the oil contained in the supply tank is considered","When determining the empty weight of an aircraft, certificated under current airworthiness standards (14 CFR Part 23), the oil contained in the supply tank is considered",a part of the empty weight.,a part of the useful load.,the same as the fluid contained in the water injection reservoir.,A
Improper loading of a helicopter which results in exceeding either the fore or aft CG limits is hazardous due to the,Improper loading of a helicopter which results in exceeding either the fore or aft CG limits is hazardous due to the,reduction or loss of effective cyclic pitch control.,Coriolis effect being translated to the fuselage.,reduction or loss of effective collective pitch control.,A
The maximum weight as used in weight and balance control of a given aircraft can normally be found,The maximum weight as used in weight and balance control of a given aircraft can normally be found,"by adding the weight of full fuel, pilot, passengers, and maximum allowable baggage to the empty weight.",in the Aircraft Specification or Type Certificate Data Sheet.,by adding the empty weight and payload.,B
"An aircraft with an empty weight of 2,100 pounds and an empty weight CG +32.5 was altered as follows:|1. two 18-pound passenger seats located at +73 were removed;|2. structural modifications were made at +77 increasing weight by 17 pounds;|3. a seat and safety belt weighing 25 pounds were installed at +74.5; and|4. radio equipment weighing 35 pounds was installed at +95.|What is the new empty weight CG?","An aircraft with an empty weight of 2,100 pounds and an empty weight CG +32.5 was altered as follows:|1. two 18-pound passenger seats located at +73 were removed;|2. structural modifications were made at +77 increasing weight by 17 pounds;|3. a seat and safety belt weighing 25 pounds were installed at +74.5; and|4. radio equipment weighing 35 pounds was installed at +95.|What is the new empty weight CG?",+34.01.,+33.68.,+34.65.,B
The CG range in single-rotor helicopters is,The CG range in single-rotor helicopters is,much greater than for airplanes.,approximately the same as the CG range for airplanes.,more restricted than for airplanes.,C
The amount of fuel used for computing empty weight and corresponding CG is,The amount of fuel used for computing empty weight and corresponding CG is,empty fuel tanks.,unusable fuel.,the amount of fuel necessary for 1/2 hour of operation.,B
"An aircraft as loaded weighs 4,954 pounds at a CG of +30.5 inches. The CG range is +32.0 inches to +42.1 inches. Find the minimum weight of the ballast necessary to bring the CG within the CG range. The ballast arm is +162 inches.","An aircraft as loaded weighs 4,954 pounds at a CG of +30.5 inches. The CG range is +32.0 inches to +42.1 inches. Find the minimum weight of the ballast necessary to bring the CG within the CG range. The ballast arm is +162 inches.",61.98 pounds.,30.58 pounds.,57.16 pounds.,C
"As weighed, the total empty weight of an aircraft is 5,862 pounds with a moment of 885,957. However, when the aircraft was weighed, 20 pounds of potable water were on board at +84, and 23 pounds of hydraulic fluid were in a tank located at +101. What is the empty weight CG of the aircraft?","As weighed, the total empty weight of an aircraft is 5,862 pounds with a moment of 885,957. However, when the aircraft was weighed, 20 pounds of potable water were on board at +84, and 23 pounds of hydraulic fluid were in a tank located at +101. What is the empty weight CG of the aircraft?",150.700.,151.700.,151.365.,C
"Two boxes which weigh 10 pounds and 5 pounds are placed in an airplane so that their distance aft from the CG are 4 feet and 2 feet respectively. How far forward of the CG should a third box, weighing 20 pounds, be placed so that the CG will not be changed?","Two boxes which weigh 10 pounds and 5 pounds are placed in an airplane so that their distance aft from the CG are 4 feet and 2 feet respectively. How far forward of the CG should a third box, weighing 20 pounds, be placed so that the CG will not be changed?",3 feet.,2.5 feet.,8 feet.,B
"An aircraft with an empty weight of 1,800 pounds and an empty weight CG of +31.5 was altered as follows:|1. two 15-pound passenger seats located at +72 were removed;|2. structural modifications increasing the weight 14 pounds were made at +76;|3. a seat and safety belt weighing 20 pounds were installed at +73.5; and|4. radio equipment weighing 30 pounds was installed at +30.|What is the new empty weight CG?","An aircraft with an empty weight of 1,800 pounds and an empty weight CG of +31.5 was altered as follows:|1. two 15-pound passenger seats located at +72 were removed;|2. structural modifications increasing the weight 14 pounds were made at +76;|3. a seat and safety belt weighing 20 pounds were installed at +73.5; and|4. radio equipment weighing 30 pounds was installed at +30.|What is the new empty weight CG?",+30.61.,+31.61.,+32.69.,B
"An aircraft had an empty weight of 2,886 pounds with a moment of 101,673.78 before several alterations were made. The alterations included:|1. removing two passenger seats (15 pounds each) at +71;|2. installing a cabinet (97 pounds) at +71;|3. installing a seat and safety belt (20 pounds) at +71; and|4. installing radio equipment (30 pounds) at +94.|The alterations caused the new empty weight CG to move","An aircraft had an empty weight of 2,886 pounds with a moment of 101,673.78 before several alterations were made. The alterations included:|1. removing two passenger seats (15 pounds each) at +71;|2. installing a cabinet (97 pounds) at +71;|3. installing a seat and safety belt (20 pounds) at +71; and|4. installing radio equipment (30 pounds) at +94.|The alterations caused the new empty weight CG to move",1.62 inches aft of the original empty weight CG.,2.03 inches forward of the original empty weight CG.,2.03 inches aft of the original empty weight CG.,A
"If a 40-pound generator applies +1400 inch-pounds to a reference axis, the generator is located","When a 40-pound generator applies +1400 inch-pounds to a reference axis, the generator is located",-35 from the axis.,+35 from the axis.,+25 from the axis.,B
"In a balance computation of an aircraft from which an item located aft of the datum was removed, use","In a balance computation of an aircraft from which an item located aft of the datum was removed, use",(-)weight X (+)arm = (-)moment.,(-)weight X (-)arm = (+)moment.,(+)weight X (-)arm = (-)moment.,A
"All other things being equal, if an item of useful load located aft of an aircraft's CG is removed, the aircraft's CG change will be","All other things being equal, if an item of useful load located aft of an aircraft's CG is removed, the aircraft's CG change will be",aft in proportion to the weight of the item and its location in the aircraft.,forward in proportion to the weight of the item and its location in the aircraft.,"forward in proportion to the weight of the item, regardless of its location in the aircraft.",B
"Datum is forward of the|   main gear center point             30.24 inches|Actual distance between tail gear|   and main gear center points       360.26 inches|Net weight at right main gear         9,980 pounds|Net weight at left main gear          9,770 pounds|Net weight at tail gear               1,970 pounds||These items were in the aircraft when weighed:|1. Lavatory water tank full (34 pounds at +352).|2. Hydraulic fluid (22 pounds at -8).|3. Removable ballast (146 pounds at +380).|What is the empty weight CG of the aircraft described above?","Datum is forward of the|   main gear center point             30.24 inches|Actual distance between tail gear|   and main gear center points       360.26 inches|Net weight at right main gear         9,980 pounds|Net weight at left main gear          9,770 pounds|Net weight at tail gear               1,970 pounds||These items were in the aircraft when weighed:|1. Lavatory water tank full (34 pounds at +352).|2. Hydraulic fluid (22 pounds at -8).|3. Removable ballast (146 pounds at +380).|What is the empty weight CG of the aircraft described above?",62.92 inches.,60.31 inches.,58.54 inches.,B
"When making a rearward weight and balance check to determine that the CG will not exceed the rearward limit during extreme conditions, the items of useful load which should be computed at their minimum weights are those located forward of the","When making a rearward weight and balance check to determine that the CG will not exceed the rearward limit during extreme conditions, the items of useful load which should be computed at their minimum weights are those located forward of the",forward CG limit.,datum.,rearward CG limit.,C
"When, or under what condition(s) are adverse loading checks conducted?","When, or under what condition(s) are adverse loading checks conducted?",At or below the maximum gross weight of the aircraft.,Anytime a repair or alteration causes EWCG to fall outside the CG range.,At specified flight hour or calendar time intervals.,B
"When accomplishing loading computations for a small aircraft, necessary information obtained from the weight and balance records would include","When accomplishing loading computations for a small aircraft, necessary information obtained from the weight and balance records would include",unusable fuel weight and distance from datum.,weight and location of permanent ballast.,current empty weight and empty weight CG.,C
"When an empty aircraft is weighed, the combined net weight at the main gears is 3,540 pounds with an arm of 195.5 inches. At the nose gear, the net weight is 2,322 pounds with an arm of 83.5 inches. The datum line is forward of the nose of the aircraft. What is the empty CG of the aircraft?","When an empty aircraft is weighed, the combined net weight at the main gears is 3,540 pounds with an arm of 195.5 inches. At the nose gear, the net weight is 2,322 pounds with an arm of 83.5 inches. The datum line is forward of the nose of the aircraft. What is the empty CG of the aircraft?",151.1.,155.2.,146.5.,A
"An aircraft with an empty weight of 1,500 pounds and an empty weight CG of +28.4 was altered as follows:|1. two 12-pound seats located at +68.5 were removed;|2. structural modifications weighing +28 pounds were made at +73;|3. a seat and safety belt weighing 30 pounds were installed at +70.5; and|4. radio equipment weighing 25 pounds was installed at +85.|What is the new empty weight CG?","An aircraft with an empty weight of 1,500 pounds and an empty weight CG of +28.4 was altered as follows:|1. two 12-pound seats located at +68.5 were removed;|2. structural modifications weighing +28 pounds were made at +73;|3. a seat and safety belt weighing 30 pounds were installed at +70.5; and|4. radio equipment weighing 25 pounds was installed at +85.|What is the new empty weight CG?",+23.51.,+31.35.,+30.30.,C
The following alteration was performed on an aircraft: A model B engine weighing 175 pounds was replaced by a model D engine weighing 185 pounds at a -62.00-inch station. The aircraft weight and balance records show the previous empty weight to be 998 pounds and an empty weight CG of 13.48 inches. What is the new empty weight CG?,The following alteration was performed on an aircraft: A model B engine weighing 175 pounds was replaced by a model D engine weighing 185 pounds at a -62.00-inch station. The aircraft weight and balance records show the previous empty weight to be 998 pounds and an empty weight CG of 13.48 inches. What is the new empty weight CG?,13.96 inches.,14.25 inches.,12.73 inches.,C
"If the empty weight CG of an airplane lies within the empty weight CG limits,","When the empty weight CG of an airplane lies within the empty weight CG limits,",it is necessary to calculate CG extremes.,it is not necessary to calculate CG extremes.,minimum fuel should be used in both forward and rearward CG checks.,B
"When computing the maximum forward loaded CG of an aircraft, minimum weights, arms, and moments should be used for items of useful load that are located aft of the","When computing the maximum forward loaded CG of an aircraft, minimum weights, arms, and moments should be used for items of useful load that are located aft of the",rearward CG limit.,forward CG limit.,datum.,B
"Find the empty weight CG location for the following tricycle-gear aircraft. Each main wheel weighs 753 pounds, nosewheel weighs 22 pounds, distance between nosewheel and main wheels is 87.5 inches, nosewheel location is +9.875 inches from datum, with 1 gallon of hydraulic fluid at -21.0 inches included in the weight scale.","Find the empty weight CG location for the following tricycle-gear aircraft. Each main wheel weighs 753 pounds, nosewheel weighs 22 pounds, distance between nosewheel and main wheels is 87.5 inches, nosewheel location is +9.875 inches from datum, with 1 gallon of hydraulic fluid at -21.0 inches included in the weight scale.",+97.375 inches.,+95.61 inches.,+96.11 inches.,C
An aircraft's LEMAC and TEMAC are defined in terms of distance,An aircraft's LEMAC and TEMAC are defined in terms of distance,from the datum.,from each other.,"ahead of and behind the wing center of lift, respectively.",A
"If an aircraft CG is found to be at 24 percent of MAC, that 24 percent is an expression of the","When an aircraft CG is found to be at 24 percent of MAC, that 24 percent is an expression of the",distance from the TEMAC.,distance from the LEMAC.,distance from the Datum.,B
"Which coupling nut should be selected for use with 1/2-inch aluminum oil lines which are to be assembled using flared tube ends and standard AN nuts, sleeves, and fittings?","Which coupling nut should be selected for use with 1/2-inch aluminum oil lines which are to be assembled using flared tube ends and standard AN nuts, sleeves, and fittings?",AN-818-5.,AN-818-16.,AN-818-8.,C
Metal tubing fluid lines are sized by wall thickness and,Metal tubing fluid lines are sized by wall thickness and,outside diameter in 1/16 inch increments.,inside diameter in 1/16 inch increments.,outside diameter in 1/32 inch increments.,A
"From the following sequences of steps, indicate the proper order you would use to make a single flare on a piece of tubing:|1. Place the tube in the proper size hole in the flaring block.|2. Project the end of the tube slightly from the top of the flaring tool, about the thickness of a dime.|3. Slip the fitting nut and sleeve on the tube.|4. Strike the plunger several light blows with a lightweight hammer or mallet and turn the plunger one-half turn after each blow.|5. Tighten the clamp bar securely to prevent slippage.|6. Center the plunger or flaring pin over the tube.","From the following sequences of steps, indicate the proper order you would use to make a single flare on a piece of tubing:|1. Place the tube in the proper size hole in the flaring block.|2. Project the end of the tube slightly from the top of the flaring tool, about the thickness of a dime.|3. Slip the fitting nut and sleeve on the tube.|4. Strike the plunger several light blows with a lightweight hammer or mallet and turn the plunger one-half turn after each blow.|5. Tighten the clamp bar securely to prevent slippage.|6. Center the plunger or flaring pin over the tube.","1, 3, 5, 2, 4, and 6.","3, 1, 6, 2, 5, and 4.","3, 1, 2, 6, 5, and 4.",B
"Hydraulic tubing, which is damaged in a localized area to such an extent that repair is necessary, may be repaired","Hydraulic tubing, which is damaged in a localized area to such an extent that repair is necessary, may be repaired",by cutting out the damaged area and utilizing a swaged tube fitting to join the tube ends.,only by replacing the tubing section run (connection to connection) using the same size and material as the original.,by cutting out the damaged section and soldering in a replacement section of tubing.,A
What is an advantage of a double flare on aluminum tubing?,What is an advantage of a double flare on aluminum tubing?,Ease of construction.,More resistant to damage when the joint is tightened.,Can be applied to any size and wall-thickness of tubing.,B
"A certain amount of slack must be left in a flexible hose during installation because, when under pressure, it","A certain amount of slack must be left in a flexible hose during installation because, when under pressure, it",expands in length and diameter.,expands in length and contracts in diameter.,contracts in length and expands in diameter.,C
The term 'cold flow' is generally associated with,The term 'cold flow' is generally associated with,the effects of low temperature gasses or liquids flowing in hose or tubing.,impressions left in natural or synthetic rubber hose material.,flexibility characteristics of various hose materials at low ambient temperatures.,B
What is the color of an AN steel flared-tube fitting?,What is the color of an AN steel flared-tube fitting?,Black.,Blue.,Red.,A
Which of the following statements is/are correct in reference to flare fittings?|1. AN fittings have an identifying shoulder between the end of the threads and the flare cone.|2. AC and AN fittings are considered identical except for material composition and identifying colors.|3. AN fittings are generally interchangeable with AC fittings of compatible material composition.,Which of the following statements is/are correct in reference to flare fittings?|1. AN fittings have an identifying shoulder between the end of the threads and the flare cone.|2. AC and AN fittings are considered identical except for material composition and identifying colors.|3. AN fittings are generally interchangeable with AC fittings of compatible material composition.,1.,1 and 3.,"1, 2, and 3.",A
Flexible lines must be installed with,Flexible lines must be installed with,a slack of 5 to 8 percent of the length.,a slack of at least 10 to 12 percent of the length.,enough slack to allow maximum flexing during operation.,A
The maximum distance between end fittings to which a straight hose assembly is to be connected is 50 inches. The minimum hose length to make such a connection should be,The maximum distance between end fittings to which a straight hose assembly is to be connected is 50 inches. The minimum hose length to make such a connection should be,54-1/2 inches.,51-1/2 inches.,52-1/2 inches.,C
Excessive stress on fluid or pneumatic metal tubing caused by expansion and contraction due to temperature changes can best be avoided by,Excessive stress on fluid or pneumatic metal tubing caused by expansion and contraction due to temperature changes can best be avoided by,"using short, straight sections of tubing between fixed parts of the aircraft.",using tubing of the same material as the majority of the adjoining structure.,providing bends in the tubing.,C
The material specifications for a certain aircraft require that a replacement oil line be fabricated from 3/4-inch 0.072 5052-0 aluminum alloy tubing. What is the inside dimension of this tubing?,The material specifications for a certain aircraft require that a replacement oil line be fabricated from 3/4-inch 0.072 5052-0 aluminum alloy tubing. What is the inside dimension of this tubing?,0.606 inch.,0.688 inch.,0.750 inch.,A
"In most aircraft hydraulic systems, two-piece tube connectors consisting of a sleeve and a nut are used when a tubing flare is required. The use of this type connector eliminates","In most aircraft hydraulic systems, two-piece tube connectors consisting of a sleeve and a nut are used when a tubing flare is required. The use of this type connector eliminates",the flaring operation prior to assembly.,the possibility of reducing the flare thickness by wiping or ironing during the tightening process.,wrench damage to the tubing during the tightening process.,B
"During installation, Military Standard (MS) flareless fittings","During installation, Military Standard (MS) flareless fittings","are normally tightened by turning the nut a specified amount, unless the manufacturer lists torque values.",should be assembled by applying an anti-seize compound to both surfaces of the fitting and flare.,are normally tightened by applying torque in small increments to prevent over-heating the tube mating surfaces.,A
"When flaring aluminum tubing for use with AN fittings, the flare angle must be","When flaring aluminum tubing for use with AN fittings, the flare angle must be",37__degrees__.,39__degrees__.,45__degrees__.,A
Scratches or nicks on the straight portion of aluminum alloy tubing may be repaired if they are no deeper than,Scratches or nicks on the straight portion of aluminum alloy tubing may be repaired if they are no deeper than,20 percent of the wall thickness.,"1/32 inch or 20 percent of wall thickness, whichever is less.",10 percent of the wall thickness.,C
Flexible hose used in aircraft systems is classified in size according to the,Flexible hose used in aircraft systems is classified in size according to the,outside diameter.,wall thickness.,inside diameter.,C
A scratch or nick in aluminum tubing can be repaired provided it does not,A scratch or nick in aluminum tubing can be repaired provided it does not,appear in the heel of a bend.,appear on the inside of a bend.,exceed 10 percent of the tube OD on a straight section.,A
Which of the following hose materials are compatible with phosphate-ester base hydraulic fluids?,Which of the following hose materials are compatible with phosphate-ester base hydraulic fluids?,Butyl and Teflon.,Neoprene and Teflon.,Teflon and Buna-N.,A
